Date,Price,Open,High,Low,Vol.,Change %
4-Jan-00,5.335,5.29,5.29,5.29,0.00K,-1.44%
5-Jan-00,5.17,5.17,5.17,5.17,-,-3.09%
6-Jan-00,5.127,5.127,5.127,5.127,-,-0.83%
7-Jan-00,5.15,5.15,5.15,5.15,0.05K,0.45%
10-Jan-00,5.145,5.145,5.145,5.145,0.06K,-0.10%
11-Jan-00,5.15,5.195,5.195,5.195,0.00K,0.10%
12-Jan-00,5.1,5.1,5.1,5.1,0.10K,-0.97%
13-Jan-00,5.115,5.11,5.11,5.11,0.03K,0.29%
14-Jan-00,5.112,5.112,5.112,5.112,-,-0.06%
18-Jan-00,5.127,5.127,5.127,5.127,0.00K,0.29%
19-Jan-00,5.135,5.135,5.135,5.135,0.02K,0.16%
20-Jan-00,5.219,5.2,5.2,5.2,0.02K,1.64%
21-Jan-00,5.222,5.222,5.222,5.222,0.00K,0.06%
24-Jan-00,5.255,5.255,5.255,5.255,-,0.63%
25-Jan-00,5.277,5.277,5.277,5.277,-,0.42%
26-Jan-00,5.25,5.25,5.25,5.25,-,-0.51%
27-Jan-00,5.382,5.382,5.382,5.382,-,2.51%
28-Jan-00,5.307,5.307,5.307,5.307,-,-1.39%
31-Jan-00,5.287,5.287,5.287,5.287,0.20K,-0.38%
1-Feb-00,5.223,5.26,5.26,5.26,0.01K,-1.21%
2-Feb-00,5.212,5.21,5.21,5.21,0.03K,-0.21%
3-Feb-00,5.26,5.23,5.23,5.23,0.00K,0.92%
4-Feb-00,5.547,5.3,5.42,5.3,0.10K,5.46%
7-Feb-00,5.26,5.26,5.26,5.26,0.10K,-5.17%
8-Feb-00,5.318,5.318,5.318,5.318,-,1.10%
9-Feb-00,5.408,5.408,5.408,5.408,-,1.69%
10-Feb-00,5.405,5.405,5.405,5.405,0.03K,-0.06%
11-Feb-00,5.332,5.34,5.34,5.34,-,-1.35%
14-Feb-00,5.255,5.255,5.255,5.255,-,-1.44%
15-Feb-00,5.245,5.245,5.245,5.245,0.10K,-0.19%
16-Feb-00,5.292,5.292,5.292,5.292,-,0.90%
17-Feb-00,5.255,5.255,5.255,5.255,-,-0.70%
18-Feb-00,5.273,5.23,5.23,5.23,0.01K,0.34%
22-Feb-00,5.283,5.283,5.283,5.283,-,0.19%
23-Feb-00,5.256,5.26,5.26,5.26,0.01K,-0.51%
24-Feb-00,5.166,5.166,5.166,5.166,-,-1.71%
25-Feb-00,5.036,5.036,5.036,5.036,-,-2.52%
28-Feb-00,5.048,5.045,5.095,5.02,14.20K,0.24%
29-Feb-00,5.048,5.065,5.09,5.035,2.83K,0.00%
1-Mar-00,5.073,5.07,5.13,5.05,0.51K,0.50%
2-Mar-00,5.008,5.105,5.105,5,0.65K,-1.28%
3-Mar-00,5.099,5.02,5.11,5,0.31K,1.82%
6-Mar-00,5.053,5.09,5.09,5.05,0.14K,-0.90%
7-Mar-00,5.069,5.09,5.095,5.085,0.27K,0.32%
8-Mar-00,5.077,5.08,5.09,5.05,0.24K,0.16%
9-Mar-00,5.097,5.055,5.115,5.055,0.19K,0.39%
10-Mar-00,5.064,5.14,5.14,5.06,0.06K,-0.65%
13-Mar-00,5.064,5.095,5.095,5.08,0.01K,0.00%
14-Mar-00,5.092,5.105,5.12,5.1,0.07K,0.55%
15-Mar-00,5.127,5.12,5.145,5.11,0.04K,0.69%
16-Mar-00,5.087,5.1,5.11,5.075,0.02K,-0.78%
17-Mar-00,5.092,5.08,5.12,5.08,0.14K,0.10%
20-Mar-00,5.03,5.075,5.075,5.05,0.03K,-1.22%
21-Mar-00,5.121,5.045,5.18,5.045,0.05K,1.81%
22-Mar-00,5.13,5.11,5.15,5.11,0.07K,0.18%
23-Mar-00,5.09,5.08,5.11,5.08,0.03K,-0.78%
24-Mar-00,5.119,5.11,5.135,5.11,0.08K,0.57%
27-Mar-00,5.093,5.115,5.115,5.1,0.03K,-0.51%
28-Mar-00,5.076,5.1,5.11,5.095,0.01K,-0.33%
29-Mar-00,4.956,5,5,4.97,0.03K,-2.36%
30-Mar-00,4.963,4.963,4.963,4.963,-,0.14%
31-Mar-00,5.02,5.02,5.02,5.02,-,1.15%
3-Apr-00,5.032,5.032,5.032,5.032,-,0.24%
4-Apr-00,5.14,5.05,5.05,5.05,0.00K,2.15%
5-Apr-00,5.114,5.114,5.114,5.114,-,-0.51%
6-Apr-00,5.112,5.112,5.112,5.112,0.05K,-0.04%
7-Apr-00,5.104,5.104,5.104,5.104,0.03K,-0.16%
10-Apr-00,5.15,5.15,5.15,5.15,0.10K,0.90%
11-Apr-00,5.128,5.128,5.128,5.128,-,-0.43%
12-Apr-00,5.133,5.133,5.133,5.133,-,0.10%
13-Apr-00,5.16,5.16,5.16,5.16,-,0.53%
14-Apr-00,5.162,5.162,5.162,5.162,-,0.04%
17-Apr-00,5.13,5.13,5.13,5.13,-,-0.62%
18-Apr-00,5.127,5.127,5.127,5.127,-,-0.06%
19-Apr-00,5.122,5.122,5.122,5.122,-,-0.10%
20-Apr-00,4.989,4.989,4.989,4.989,-,-2.60%
24-Apr-00,4.944,4.944,4.944,4.944,-,-0.90%
25-Apr-00,5.008,5.008,5.008,5.008,-,1.29%
26-Apr-00,4.942,4.942,4.942,4.942,-,-1.32%
27-Apr-00,4.958,4.96,4.985,4.925,14.84K,0.32%
28-Apr-00,4.96,4.955,4.98,4.925,2.31K,0.04%
1-May-00,5.025,4.94,5.05,4.94,0.75K,1.31%
2-May-00,5.025,5.08,5.08,5.01,0.17K,0.00%
3-May-00,5.025,5.005,5.05,4.99,0.43K,0.00%
4-May-00,5.123,5.055,5.135,5.02,0.33K,1.95%
5-May-00,5.006,5.09,5.09,4.995,0.13K,-2.28%
8-May-00,5.02,5.015,5.06,5.015,0.04K,0.28%
9-May-00,5.04,5.02,5.085,5,0.19K,0.40%
10-May-00,5.037,5.07,5.07,5.035,0.05K,-0.06%
11-May-00,5.021,5,5.025,5,0.18K,-0.32%
12-May-00,5.019,5.05,5.05,4.99,0.02K,-0.04%
15-May-00,5.023,5,5.04,4.985,0.13K,0.08%
16-May-00,5.108,5.07,5.12,5.07,0.07K,1.69%
17-May-00,5.003,5.06,5.085,5.04,0.01K,-2.06%
18-May-00,5.02,5,5.02,5,0.01K,0.34%
19-May-00,4.995,5.005,5.005,4.98,0.01K,-0.50%
22-May-00,5.015,5.04,5.04,5.04,0.04K,0.40%
23-May-00,5.016,5.005,5.005,5.005,0.01K,0.02%
24-May-00,4.992,5.005,5.005,4.965,0.04K,-0.48%
25-May-00,4.92,4.97,4.97,4.9,0.01K,-1.44%
26-May-00,4.937,4.9,4.935,4.9,0.01K,0.35%
30-May-00,4.924,4.924,4.924,4.924,-,-0.26%
31-May-00,4.941,4.941,4.941,4.941,-,0.35%
1-Jun-00,4.941,4.941,4.941,4.941,-,0.00%
2-Jun-00,5.026,5.026,5.026,5.026,-,1.72%
5-Jun-00,5.051,5.051,5.051,5.051,-,0.50%
6-Jun-00,5.086,5.086,5.086,5.086,-,0.69%
7-Jun-00,5.096,5.096,5.096,5.096,-,0.20%
8-Jun-00,5.073,5.073,5.073,5.073,-,-0.45%
9-Jun-00,5.04,5.04,5.04,5.04,-,-0.65%
12-Jun-00,5.02,5.02,5.02,5.02,-,-0.40%
13-Jun-00,5.005,5.005,5.005,5.005,0.00K,-0.30%
14-Jun-00,5.07,5.07,5.07,5.07,-,1.30%
15-Jun-00,5.057,5.057,5.057,5.057,-,-0.26%
16-Jun-00,5.068,5.068,5.068,5.068,-,0.22%
19-Jun-00,5.028,5.028,5.028,5.028,-,-0.79%
20-Jun-00,5.025,5.025,5.025,5.025,-,-0.06%
21-Jun-00,4.96,4.96,4.96,4.96,-,-1.29%
22-Jun-00,4.968,4.968,4.968,4.968,-,0.16%
23-Jun-00,4.948,4.948,4.948,4.948,-,-0.40%
26-Jun-00,4.975,4.975,4.975,4.975,0.08K,0.55%
27-Jun-00,4.958,4.958,4.958,4.958,0.08K,-0.34%
28-Jun-00,4.989,4.989,4.989,4.989,-,0.63%
29-Jun-00,4.997,4.98,5.06,4.97,16.59K,0.16%
30-Jun-00,5.033,4.99,5.05,4.99,3.22K,0.72%
5-Jul-00,4.993,5.02,5.02,4.96,0.33K,-0.79%
6-Jul-00,5.004,5,5.015,4.98,0.09K,0.22%
7-Jul-00,4.986,4.99,5.01,4.98,0.49K,-0.36%
10-Jul-00,5.006,5.04,5.04,4.99,0.05K,0.40%
11-Jul-00,4.963,5,5,4.95,0.02K,-0.86%
12-Jul-00,4.976,4.95,4.985,4.95,0.09K,0.26%
13-Jul-00,4.983,5,5,4.97,0.01K,0.14%
14-Jul-00,5.003,4.98,5.03,4.98,0.02K,0.40%
17-Jul-00,5.018,5,5.03,5,0.02K,0.30%
18-Jul-00,5.022,5.04,5.04,5.04,0.08K,0.08%
19-Jul-00,4.982,4.975,4.99,4.975,0.02K,-0.80%
20-Jul-00,4.996,5.02,5.02,5.02,0.36K,0.28%
21-Jul-00,4.926,4.955,4.955,4.955,0.00K,-1.40%
24-Jul-00,4.946,4.95,4.97,4.91,0.01K,0.41%
25-Jul-00,4.992,5,5,5,0.12K,0.93%
26-Jul-00,4.952,5,5,4.95,0.02K,-0.80%
27-Jul-00,4.967,4.975,4.975,4.975,0.01K,0.30%
28-Jul-00,4.968,4.968,4.968,4.968,0.06K,0.02%
31-Jul-00,5.006,5.006,5.006,5.006,-,0.76%
1-Aug-00,4.996,4.996,4.996,4.996,-,-0.20%
2-Aug-00,4.991,4.991,4.991,4.991,-,-0.10%
3-Aug-00,4.974,4.974,4.974,4.974,-,-0.34%
4-Aug-00,4.912,4.912,4.912,4.912,-,-1.25%
7-Aug-00,4.939,4.939,4.939,4.939,-,0.55%
8-Aug-00,4.904,4.88,4.88,4.88,0.01K,-0.71%
9-Aug-00,4.89,4.89,4.89,4.89,-,-0.29%
10-Aug-00,4.9,4.9,4.9,4.9,-,0.20%
11-Aug-00,4.923,4.923,4.923,4.923,-,0.47%
14-Aug-00,4.888,4.888,4.888,4.888,-,-0.71%
15-Aug-00,4.863,4.863,4.863,4.863,-,-0.51%
16-Aug-00,4.855,4.855,4.855,4.855,-,-0.16%
17-Aug-00,4.868,4.868,4.868,4.868,-,0.27%
18-Aug-00,4.842,4.82,4.82,4.82,0.00K,-0.53%
21-Aug-00,4.855,4.855,4.855,4.855,0.00K,0.27%
22-Aug-00,4.835,4.835,4.835,4.835,-,-0.41%
23-Aug-00,4.79,4.79,4.79,4.79,-,-0.93%
24-Aug-00,4.852,4.852,4.852,4.852,-,1.29%
25-Aug-00,4.887,4.887,4.887,4.887,-,0.72%
28-Aug-00,4.927,4.927,4.927,4.927,-,0.82%
29-Aug-00,4.943,4.943,4.943,4.943,-,0.32%
30-Aug-00,4.93,4.95,4.95,4.895,16.80K,-0.26%
31-Aug-00,5.003,4.92,5.045,4.92,2.32K,1.48%
1-Sep-00,5.004,4.985,5.035,4.985,1.61K,0.02%
5-Sep-00,4.998,4.99,5.005,4.975,1.38K,-0.12%
6-Sep-00,4.983,5,5,4.98,0.86K,-0.30%
7-Sep-00,4.935,4.98,4.98,4.93,0.23K,-0.96%
8-Sep-00,4.923,4.94,4.945,4.91,0.30K,-0.24%
11-Sep-00,4.885,4.905,4.91,4.89,0.12K,-0.77%
12-Sep-00,4.909,4.935,4.94,4.9,0.11K,0.49%
13-Sep-00,4.892,4.92,4.92,4.88,0.21K,-0.35%
14-Sep-00,4.888,4.895,4.91,4.89,0.09K,-0.08%
15-Sep-00,4.868,4.87,4.88,4.855,0.10K,-0.41%
18-Sep-00,4.876,4.876,4.876,4.876,0.02K,0.16%
19-Sep-00,4.883,4.89,4.89,4.875,0.02K,0.14%
